م,اسم شركة القطاع الخاص في المملكة بالعربي ,اسم شركة القطاع الخاص في المملكة بالإنجليزي
2231, فرع شركة موديز انفيستورز سيرفيس,Moody's Investors Services KSA Branch
2232,شركة مورغان ستانلي السعودية,Morgan Stanley Saudi Arabia Company
2233,شركة ملكية للاستثمار,Mulkia Investment Company
2234,شركة مركز مقاصة الأوراق المالية (مقاصة),Muqassa Company
2235,شركة مشاركة المالية,Musharaka Capital Company
2236,شركة نارم المالية,Narmo Capital
2237,فرع بنك البحرين الوطني,National Bank of Bahrain KSA Branch
2238,بنك الوطني الكويتي,National Bank of Kuwait - KSA
2239,شركة ناتيكسيس العربية السعودية للإستثمار,Natixis Saudi Arabia Investment Company
2240,شركة درب التجار المالية شركة شخص واحد,NEO Merchants Capital
2241,شركة نطاق المالية,Nitaq Financial Company
2242,شركة النمو المالية للاستشارات المالية,Nomw Capital Company
2243,شركة أصول و بخيت الاستثمارية,Osool & Bakheet Investment Company
2244,شركة محافظ للأستثمار,Portfolios Investment Company
2245, شركة رصانة المالية,Rasana Capital
2246,شركة التحليلات المالية,Financial Analytics Co.
2247,شركة رواسي المتقدمة للاستثمار,Rawasi Advanced Investment Company
2248,شركة راز أموال للإستثمار,Raz Amwal Investment
2249,شركة رزين المالية,Razeen Capital
2250,شركة ركاز الوطنية المالية,Rekaz National Capital
2251,شركة الرياض المالية,Riyad Capital Company
2252,الأول للاستثمار,SAB Invest
2253,شركة سبعين للاستثمار,Sabeen Investment Company 
2254,شركة سديد المالية,Sadeed Financial Company
2255,شركة سدو المالية,Sadu Capital Company
2256,الشركة السعودية للاقتصاد والتنمية للأوراق المالية,Saudi Economic and Development Securities Company
2257,شركة تداول السعودية شخص واحد مساهمة مقفلة,Saudi Exchange Company
2258,شركة السعودي الفرنسي كابيتال,Saudi Fransi Capital Company
2259,شركة السعودي الفرنسي للتمويل التأجيري,Saudi Fransi leasing finance company
2260,شركة بيت التمويل السعودي الكويتي,Saudi Kuwaiti Finance House Company
2261,فينشر كابيتال الاستثمارية السعودية,Saudi Venture Capital Investment Company
2262,شركة شعاع كابيتال العربية السعودية,Shuaa Capital Saudi Arabia Company
2263,شركة سيكو المالية,SICO Financial Company
2264,شركة سدرة المالية,Sidra Capital Company
2265,وكالة سما للتصنيف شركة شخص وحد,SIMAH Rating Agency
2266,شركة إس ام بي سي العربية السعودية للخدمات الاستشارية,SMBC Advisory Services Saudi Arabia
2267,شركة الأهلي المالية,SNB Capital
2268,شركة سوسيتيه جنرال العربية السعودية,Societe Generale Saudi Arabia
2269,ستاندرد آند بورز لخدمات السوق الائتمانية أوروبا المحدودة,Standard and Poor’s Credit Market Services Europe Limited
2270,ستاندرد تشارترد كابيتال العربية السعودية,Standard Chartered Capital Saudi Arabia
2271,شركة ستايت ستريت العربية السعودية للحلول المالية,State Street Saudi Arabia Financial Solution
2272,شركة سويكورب,Swicorp Company
2273,شركة تنمية المالية,Tanmia Capital Company
2274,شركة تتمة المالية,Tatimah Capital
2275,شركة الفريق الاول,Team One Company
2276,شركة ثروات طويق المالية,Tharawat Tuwaiq Financial Company
2277,شركة ثروات للاوراق المالية,Tharwat For Financial Securties
2278,شركة مكتب العائلة العالمية للاستثمار,The Family Office International Investment Company
2279,شركة نورذن ترست العربية السعودية,The Northern Trust Company of Saudi Arabia
2280,شركة يو بي اس العربية السعودية شركة مساهمة اجنبية مقفلة,UBS Saudi Arabia Company
2281,شركة الوطني لإدارة الثروات,Watani Wealth Management Company
2282,شركة وثيق المالية,Watheeq Financial Services
2283,شركة يقين المالية (يقين كابيتال),Yaqeen Capital
2284,مدارس ألدنهام ,Aldenham Schools
2285,كلية آردينجلي,Ardingly College
2286,شركة باكسوود التعليمية العالمية,Buckswood
2287,مجموعة مدارس تشاتسورث,Chatsworth Schools
2288,مدارس كوغنيتا,Cognita
2289,شركة إديوريتش,EDUREACH
2290,كلية إليزمير,Ellesmere College
2291,مجموعة مدارس ايتون هاوس التعلمية ,Eton House
2292,شركة فورتس للتعليم,Fortes Education
2293,مؤسسة المدارس العالمية,Global Schools Foundation
2294,شركة إنوفينتشرز للتعليم,Innoventures Education
2295,مجموعة إنسبايرد التعليمية,Inspired
2296,مدرسة ميلفيلد,Millfield School
2297,مدارس مسك,Misk Schools
2298,نورد انجليا التعليمية,Nord Anglia Schools
2299,مدارس نوفو ,NuVu Schools
2300,مدرسة ريجيت جرامار,Reigate Grammar School
2301,مدرسة ريبتون العالمية ,Repton
2302,مدرسة غيلدفورد,RGS Guildford International School
2303,مدارس إس إي كي الدولية,SEK International School
2304,مدرسة ويلينغتون العالمية,Wellington College International
2305,المركز الخليجي للوقاية من الامراض,Gulf Health Council
2306,شركة الأحساء للخدمات الطبية ,Al Ahsa Medical Services Co.
2307,مجموعة مستشفيات المانع العامة,al mana hospital group
2308,مجموعة مستشفيات الحمادي,alhammadi medical group
2309,شركة علي بن محمد بن محفر بن علي الطبي,Ali Bin Ali Hospital 
2310,شركة المسواك التجارية,almeswak Medical Group
2311,مجموعة شركة المواساة للخدمات الطبية,almouwasat medical group
2312,مستشفى السلام للخدمات الطبية( الشركة أيان للاستثمار),Alsalam Medical Services Co.
2313,شركة التخصصي الأينس الطبية المحدودة,Altakassusi Alliance Medical
2314,مستشفى أستر سند الرياض ,Aster Sanad Hospital
2315,شركة المركز الوطني لأمراض الدم والأورام,Blood and Cancer Center
2316,مستشفى دار الشفاء ,Dar Alshefa hospital company 
2317,شركة مستشفى الدكتور عبدالرحمن طه بخش المحدوده,Dr Bakhsh Hospital
2318,شركة مستشفى الدكتور سمير محمد علي عباس ,Dr Samir Abbas Hospital
2319,مستشفى عبدالرحمن المشاري,Dr. Abdulrahman AL Mishari hospital
2320,مستشفى باقدو والدكتور عرفان ,Dr. Erfan and Bagedo General Hospital
2321,مستشفى الدكتور محمد فقيه الطبي,Dr. Mohammad alfagih hospital
2322,مجموعة مستشفى الدكتور سليمان عبدالقادر فقيه,DR. SOLIMAN FAKEEH HOSPITAL
2323,مستشفى شرق جدة العام,East Jeddah Hospital
2324,مجموعة مستشفى الحياة الوطني,hayat hospital group
2325,شركة تطوير القطاع الصحي القابضة ,Health Care Development Holding Company
2326,مستشفى إنترهيلث,Interhealth hospital
2327,شركة المركز الطبي الدولي ,International Medical Center
2328,شركة مستشفى جدة الأهلي,Jeddah National Hospital Company
2329,مستشفى جونزهوبكنز أرامكو,johns hopkins Aramco Healthcare
2330,مستشفى المملكة,kingdom hospital
2331,مستشفى كينغز كوليدج لندن ,King's College Hospital London
2332,شركة مستشفيات ومراكز مغربي ,Magrabi Hospital and centers
2333,مستشفى الجدعاني الجديد الطبي,New al-jedaani medical hospital
2334,مستشفى عبيد التخصصي,OBEID SPECIALIZED HOSPITAL
2335,مجموعة السعودي الألماني الصحية,Saudi German Health group
2336,الشركة الطبية التخصصية (مستشفيات التخصصي الطبي),Specialized Medical company 
2337,مدينة سلطان بن عبدالعزيز للخدمات الإنسانية,Sultan Bin Abdulaziz City For Humanitarian Services
2338,مستشفي الأطباء المتحدون المحدودة,United Doctors Company Limited
2339, شركة مقر كالو الإقليمي,Calo Regional Headquarter
2340, شركة مقر ليفانوفا الاقليمي,LivaNova Regional Headquarter Company
2341,مقر سيتي قروب الإقليمي,Citigroup RHQ
2342, شركة مقر سيلزفورس الإقليمي,Salesforce Regional Headquarter Company
2343,شركة مقر اس ايه اس إنستيتيوت الشرق,SAS Institute Regional Headquarters Middle East
2344,شركة مقر إم سي دينتال هولدنقز الإقليمي,MC Dental Holdings Europe
